page_index,source_image,page_type,engine_used,mean_confidence,low_confidence,word_count,notes
1,toc.jpg,CLIPPING_PAGE,tesseract,72.57,False,105,
10,IMG_20260126_165359949.jpg,TEXT_PAGE,tesseract,86.62,False,426,
100,IMG_20260126_171800933.jpg,TEXT_PAGE,tesseract,84.0,False,421,
101,IMG_20260126_171804128.jpg,TEXT_PAGE,tesseract,81.32,False,321,
102,IMG_20260126_171811638.jpg,TEXT_PAGE,tesseract,87.54,False,507,
103,IMG_20260126_171815742.jpg,TEXT_PAGE,tesseract,77.15,False,304,
104,IMG_20260126_171824281.jpg,TEXT_PAGE,tesseract,84.97,False,452,
105,IMG_20260126_171828396.jpg,TEXT_PAGE,tesseract,70.08,False,291,
106,IMG_20260126_171838609.jpg,TEXT_PAGE,tesseract,81.11,False,257,
107,IMG_20260126_171841681.jpg,TEXT_PAGE,tesseract,79.76,False,244,
108,IMG_20260126_171850509.jpg,TEXT_PAGE,tesseract,85.19,False,294,
109,IMG_20260126_171853836.jpg,TEXT_PAGE,tesseract,83.67,False,388,
11,IMG_20260126_165404123.jpg,CLIPPING_PAGE,tesseract,91.04,False,286,
110,IMG_20260126_171859345.jpg,TEXT_PAGE,tesseract,89.49,False,347,
111,IMG_20260126_171903322.jpg,TEXT_PAGE,tesseract,83.6,False,247,
112,IMG_20260126_171905885.jpg,TEXT_PAGE,tesseract,74.42,False,399,
113,IMG_20260126_171917939.jpg,TEXT_PAGE,tesseract,86.36,False,422,
114,IMG_20260126_171920493.jpg,TEXT_PAGE,tesseract,82.14,False,421,
115,IMG_20260126_171928588.jpg,TEXT_PAGE,tesseract,86.88,False,396,
116,IMG_20260126_171931322.jpg,TEXT_PAGE,tesseract,76.82,False,343,
117,IMG_20260126_171935259.jpg,TEXT_PAGE,tesseract,89.6,False,423,
118,IMG_20260126_171945882.jpg,TEXT_PAGE,tesseract,81.21,False,522,
119,IMG_20260126_171954640.jpg,TEXT_PAGE,tesseract,78.78,False,426,
12,IMG_20260126_165410090.jpg,CLIPPING_PAGE,tesseract,85.05,False,129,
120,IMG_20260126_172003213.jpg,CLIPPING_PAGE,tesseract,79.31,False,227,
121,IMG_20260126_172004820.jpg,CLIPPING_PAGE,tesseract,84.07,False,234,
122,IMG_20260126_172007522.jpg,CLIPPING_PAGE,tesseract,66.17,True,169,
123,IMG_20260126_172015598.jpg,TEXT_PAGE,tesseract,87.32,False,396,
124,IMG_20260126_172018462.jpg,TEXT_PAGE,tesseract,83.76,False,411,
125,IMG_20260126_172026780.jpg,CLIPPING_PAGE,tesseract,69.97,True,462,
126,IMG_20260126_172029103.jpg,TEXT_PAGE,tesseract,83.79,False,393,
127,IMG_20260126_172036673.jpg,TEXT_PAGE,tesseract,93.04,False,478,
128,IMG_20260126_172040557.jpg,TEXT_PAGE,tesseract,66.52,True,405,
129,IMG_20260126_172047899.jpg,TEXT_PAGE,tesseract,87.11,False,317,
13,IMG_20260126_165427746.jpg,TEXT_PAGE,tesseract,87.39,False,235,
130,IMG_20260126_172051456.jpg,TEXT_PAGE,tesseract,84.65,False,472,
131,IMG_20260126_172059901.jpg,TEXT_PAGE,tesseract,88.35,False,540,
132,IMG_20260126_172101958.jpg,CLIPPING_PAGE,tesseract,86.26,False,115,
133,IMG_20260126_172111632.jpg,TEXT_PAGE,tesseract,88.13,False,360,
134,IMG_20260126_172114901.jpg,TEXT_PAGE,tesseract,78.93,False,261,
135,IMG_20260126_172126504.jpg,TEXT_PAGE,tesseract,87.55,False,364,
136,IMG_20260126_172132670.jpg,CLIPPING_PAGE,tesseract,45.55,True,58,
137,IMG_20260126_172134538.jpg,CLIPPING_PAGE,tesseract,71.38,False,42,rotated -90 degrees
138,IMG_20260126_172143577.jpg,CLIPPING_PAGE,tesseract,86.69,False,366,rotated -270 degrees
139,IMG_20260126_172146349.jpg,TEXT_PAGE,tesseract,89.84,False,368,rotated -270 degrees
14,IMG_20260126_165433228.jpg,TEXT_PAGE,tesseract,81.67,False,297,
140,IMG_20260126_172157548.jpg,TEXT_PAGE,tesseract,86.69,False,366,rotated -270 degrees
141,IMG_20260126_172200775.jpg,CLIPPING_PAGE,tesseract,80.26,False,282,rotated -270 degrees
142,IMG_20260126_172211346.jpg,TEXT_PAGE,tesseract,87.93,False,472,rotated -270 degrees
143,IMG_20260126_172213959.jpg,TEXT_PAGE,tesseract,75.1,False,333,rotated -270 degrees
144,IMG_20260126_172221644.jpg,TEXT_PAGE,tesseract,88.93,False,418,rotated -270 degrees
145,IMG_20260126_172225807.jpg,TEXT_PAGE,tesseract,85.36,False,345,rotated -270 degrees
146,IMG_20260126_172235269.jpg,TEXT_PAGE,tesseract,87.88,False,400,rotated -270 degrees
147,IMG_20260126_172253857.jpg,TEXT_PAGE,tesseract,85.75,False,318,
148,IMG_20260126_172334606.jpg,CLIPPING_PAGE,tesseract,67.53,True,113,
149,IMG_20260126_172338392.jpg,TEXT_PAGE,tesseract,71.08,False,255,
15,IMG_20260126_165440462.jpg,TEXT_PAGE,tesseract,87.14,False,405,
150,IMG_20260126_172345318.jpg,TEXT_PAGE,tesseract,82.34,False,387,
151,IMG_20260126_172348430.jpg,CLIPPING_PAGE,tesseract,77.53,False,161,
152,IMG_20260126_172357146.jpg,CLIPPING_PAGE,tesseract,88.68,False,313,
153,IMG_20260126_172359810.jpg,TEXT_PAGE,tesseract,83.25,False,390,
154,IMG_20260126_172408011.jpg,CLIPPING_PAGE,tesseract,51.98,True,74,rotated -270 degrees
155,IMG_20260126_172412670.jpg,CLIPPING_PAGE,tesseract,70.34,False,187,rotated -270 degrees
156,IMG_20260126_172420928.jpg,CLIPPING_PAGE,tesseract,62.93,True,165,rotated -270 degrees
157,IMG_20260126_172423905.jpg,CLIPPING_PAGE,tesseract,65.34,True,170,rotated -270 degrees
158,IMG_20260126_172431085.jpg,CLIPPING_PAGE,tesseract,69.94,True,191,rotated -270 degrees
159,IMG_20260126_172434507.jpg,CLIPPING_PAGE,tesseract,87.59,False,143,rotated -270 degrees
16,IMG_20260126_165445021.jpg,TEXT_PAGE,tesseract,92.07,False,398,
160,IMG_20260126_172445329.jpg,CLIPPING_PAGE,tesseract,73.78,False,245,rotated -270 degrees
161,IMG_20260126_172448836.jpg,TEXT_PAGE,tesseract,68.73,True,330,rotated -270 degrees
162,IMG_20260126_172454292.jpg,CLIPPING_PAGE,tesseract,82.48,False,223,rotated -270 degrees
163,IMG_20260126_172457383.jpg,CLIPPING_PAGE,tesseract,69.79,True,139,rotated -270 degrees
164,IMG_20260126_172505370.jpg,TEXT_PAGE,tesseract,88.37,False,380,rotated -270 degrees
165,IMG_20260126_172507755.jpg,CLIPPING_PAGE,tesseract,80.59,False,197,rotated -270 degrees
166,IMG_20260126_172514065.jpg,CLIPPING_PAGE,tesseract,56.65,True,144,rotated -270 degrees
167,IMG_20260126_172517366.jpg,CLIPPING_PAGE,tesseract,61.31,True,155,rotated -270 degrees
168,IMG_20260126_172524905.jpg,CLIPPING_PAGE,tesseract,56.9,True,256,rotated -270 degrees
169,IMG_20260126_172527252.jpg,CLIPPING_PAGE,tesseract,70.46,False,189,rotated -270 degrees
17,IMG_20260126_165451622.jpg,TEXT_PAGE,tesseract,80.71,False,385,
170,IMG_20260126_172536227.jpg,CLIPPING_PAGE,tesseract,52.28,True,90,rotated -270 degrees
171,IMG_20260126_172539049.jpg,CLIPPING_PAGE,tesseract,79.71,False,190,rotated -270 degrees
172,IMG_20260126_172547489.jpg,CLIPPING_PAGE,tesseract,83.72,False,236,rotated -270 degrees
173,IMG_20260126_172550157.jpg,CLIPPING_PAGE,tesseract,90.28,False,369,rotated -270 degrees
174,IMG_20260126_172558576.jpg,CLIPPING_PAGE,tesseract,84.32,False,288,rotated -270 degrees
175,IMG_20260126_172601022.jpg,TEXT_PAGE,tesseract,79.11,False,349,
176,IMG_20260126_172610162.jpg,CLIPPING_PAGE,tesseract,61.0,True,207,
177,IMG_20260126_172614638.jpg,CLIPPING_PAGE,tesseract,78.5,False,146,
178,IMG_20260126_172625505.jpg,CLIPPING_PAGE,tesseract,70.87,False,224,
179,IMG_20260126_172628384.jpg,CLIPPING_PAGE,tesseract,52.59,True,3,low word count for text page
18,IMG_20260126_165455553.jpg,TEXT_PAGE,tesseract,82.86,False,326,
180,IMG_20260126_172644893.jpg,TEXT_PAGE,tesseract,74.47,False,210,
181,IMG_20260126_172654623.jpg,CLIPPING_PAGE,tesseract,58.09,True,35,
182,IMG_20260126_172702603.jpg,TEXT_PAGE,tesseract,62.95,True,196,
183,IMG_20260126_172704923.jpg,TEXT_PAGE,tesseract,37.61,True,22,
184,IMG_20260126_172714556.jpg,CLIPPING_PAGE,tesseract,61.9,True,25,
185,IMG_20260126_172717527.jpg,TEXT_PAGE,tesseract,41.08,True,12,low word count for text page
186,IMG_20260126_172723545.jpg,FIGURE_PAGE,tesseract,95.0,False,1,caption-only
187,IMG_20260126_172727184.jpg,TEXT_PAGE,tesseract,47.52,True,12,low word count for text page
188,IMG_20260126_172742466.jpg,CLIPPING_PAGE,tesseract,62.09,True,32,
189,IMG_20260126_172750123.jpg,TEXT_PAGE,tesseract,72.1,False,98,
